Treasure =STATUE from ENGLAND; material=NEPHRITIS; price=22911
Treasure =RING from ITALY; material=DIAMOND; price=34696
Treasure =SHIELD from SPAIN; material=SILVER; price=83085
Treasure =CUP from ITALY; material=TITAN; price=58379
Treasure =HELMET from GERMAN; material=TITAN; price=94412
Treasure =RING from BELARUS; material=NEPHRITIS; price=24981
Treasure =CUP from FRANCE; material=GOLD; price=57343
Treasure =ARMOR from ITALY; material=PLATINUM; price=18507
Treasure =ARMOR from AUSTRIA; material=SILVER; price=24200
Treasure =EARRINGS from PORTUGAL; material=NEPHRITIS; price=64897
Treasure =ARMOR from FRANCE; material=TITAN; price=58032
Treasure =CLOCK from CYPRUS; material=NEPHRITIS; price=40754
Treasure =EARRINGS from GERMAN; material=NEPHRITIS; price=54923
Treasure =RING from AUSTRIA; material=DIAMOND; price=35847
Treasure =SHIELD from AUSTRIA; material=PLATINUM; price=42784
Treasure =STATUE from AUSTRIA; material=UNKNOWN; price=91413
Treasure =MASCOT from PORTUGAL; material=TITAN; price=23932
Treasure =ARMOR from ITALY; material=PLATINUM; price=85732
Treasure =STATUE from SCOTLAND; material=TITAN; price=60064
Treasure =SOUVENIR from CYPRUS; material=DIAMOND; price=56032
Treasure =TRAY from SPAIN; material=TITAN; price=81657
Treasure =CLOCK from CYPRUS; material=TITAN; price=76255
Treasure =HELMET from FRANCE; material=PLATINUM; price=3384
Treasure =EARRINGS from GERMAN; material=SILVER; price=93389
Treasure =BOWL from SPAIN; material=TITAN; price=64899
Treasure =CUP from BELARUS; material=SILVER; price=21304
Treasure =STATUE from SPAIN; material=TITAN; price=97043
Treasure =SOUVENIR from PORTUGAL; material=PLATINUM; price=5847
Treasure =STATUE from SPAIN; material=NEPHRITIS; price=49749
Treasure =ARMOR from BELARUS; material=PLATINUM; price=84209
Treasure =MASCOT from ITALY; material=DIAMOND; price=55150
Treasure =EARRINGS from FRANCE; material=SILVER; price=36498
Treasure =RING from CYPRUS; material=DIAMOND; price=40781
Treasure =AMULET from ITALY; material=NEPHRITIS; price=59575
Treasure =BOWL from CYPRUS; material=GOLD; price=39335
Treasure =EARRINGS from FRANCE; material=NEPHRITIS; price=19222
Treasure =BOWL from GREECE; material=GOLD; price=57145
Treasure =SHIELD from TURKEY; material=GOLD; price=63915
Treasure =BOWL from SPAIN; material=SILVER; price=89916
